Site_ID,Asset_Type,Related_ID,File,Caption,Display_Order,External_URL,Embed_HTML,Notes
KH1,current_photo,KH1,detail_assets/photos/KH1_photo_04.jpg,,4,,,
KH1,drawing,KH1,detail_assets/drawings/KH1_drawing_01.jpg,Plan before excavation survey and restoration work,1,,,
KH2,current_photo,KH2,detail_assets/photos/KH2_photo_01.jpg,,1,,,
KH2,current_photo,KH2,detail_assets/photos/KH2_photo_02.jpg,,2,,,
KH2,current_photo,KH2,detail_assets/photos/KH2_photo_03.jpg,,3,,,
KH2,current_photo,KH2,detail_assets/photos/KH2_photo_04.jpg,,4,,,
KH2,drawing,KH2,detail_assets/drawings/KH2_drawing_01.jpg,Plan before excavation survey and restoration work,1,,,
KH3,current_photo,KH3,detail_assets/photos/KH3_photo_01.jpg,,1,,,
KH3,current_photo,KH3,detail_assets/photos/KH3_photo_02.jpg,,2,,,
KH4,current_photo,KH4,detail_assets/photos/KH4_photo_01.jpg,,1,,,
L1,current_photo,L1,detail_assets/photos/L1_photo_01.jpg,,1,,,
L1,current_photo,L1,detail_assets/photos/L1_photo_02.jpg,,2,,,
L1,current_photo,L1,detail_assets/photos/L1_photo_03.jpg,,3,,,
L2,current_photo,L2,detail_assets/photos/L2_photo_01.jpg,,1,,,
L3,current_photo,L3,detail_assets/photos/L3_photo_01.jpg,,1,,,
L3,current_photo,L3,detail_assets/photos/L3_photo_02.jpg,,2,,,
L3,current_photo,L3,detail_assets/photos/L3_photo_03.jpg,,3,,,
L3,current_photo,L3,detail_assets/photos/L3_photo_04.jpg,,4,,,
L3,drawing,L3,detail_assets/drawings/L3_drawing_01.jpg,Plan,1,,,
L4,current_photo,L4,detail_assets/photos/L4_photo_01.jpg,,1,,,
L4,current_photo,L4,detail_assets/photos/L4_photo_02.jpg,,2,,,
L4,current_photo,L4,detail_assets/photos/L4_photo_03.jpg,,3,,,
L4,current_photo,L4,detail_assets/photos/L4_photo_04.jpg,,4,,,
L4,current_photo,L4,detail_assets/photos/L4_photo_05.jpg,,5,,,
L4,current_photo,L4,detail_assets/photos/L4_photo_06.jpg,,6,,,
L4,current_photo,L4,detail_assets/photos/L4_photo_07.jpg,,7,,,
L4,drawing,L4,detail_assets/drawings/L4_drawing_01.jpg,Plan,1,,,
L4,drawing,L4,detail_assets/drawings/L4_drawing_02.jpg,East Elevation,2,,,
L5,current_photo,L5,detail_assets/photos/L5_photo_01.jpg,,1,,,
L5,current_photo,L5,detail_assets/photos/L5_photo_02.jpg,,2,,,
L5,current_photo,L5,detail_assets/photos/L5_photo_03.jpg,,3,,,
L5,current_photo,L5,detail_assets/photos/L5_photo_04.jpg,,4,,,
L5,current_photo,L5,detail_assets/photos/L5_photo_05.jpg,,5,,,
L5,current_photo,L5,detail_assets/photos/L5_photo_06.jpg,,6,,,
